N-,"with mixer running ,",搅拌机运转时，,"avec soirée consécutive,","mit laufendem Mischer,",ミキサーが作動する時、
A-,"add butter a little at a time ,",一次加一点黄油，,"ajouter le beurre un peu à la fois,","Butter ein wenig nach dem anderen hinzufügen,",バターを一度に少しずつ加えて、
A-,beating constantly .,不断地跳动。,de battre constamment.,ständig zu schlagen.,絶えず鼓動する。
A-,"add powdered sugar ,",加糖粉，,"ajouter le sucre en poudre,","Zucker in Pulverform hinzufügen,",シロップを入れます
A|,"stevia ,",甜菊糖，,"le stévia,","stevia,",キャラメル、
A|,and vanilla *,还有香草味的*,et vanille *,und Vanille *,バニラ味の*もあります
A-,and beat just *,然后打败*,et battre seulement *,und schlagen einfach *,そして*を倒します
N-,until smooth .,直到光滑。,jusqu'au bon.,bis glatt.,滑らかになるまで。
A-,use a small offset spatula to spread frosting on top of cookies .,用一把小刮刀在饼干上涂上糖霜。,utiliser un petit offset spatule de propagation du glaçage sur plus de cookies.,"verwenden Sie eine kleine Offset -Spachtel, um Frost auf Cookies zu verteilen.",小刀でビスケットにクリームを塗る。
,,,,,
A-,preheat oven to 350 degrees f ( 175 degrees c ) .,预热烤箱至350华氏度（175摄氏度）。,préchauffer le four à 350 degrés f (175 degrés c).,Vorwärmofen bis 350 Grad f (175 Grad c).,予熱オーブンは350華氏度（175度）まで。
A-,place a pan of water on the bottom of the oven .,在烤箱底部放一盘水。,place un bac d'eau au fond du four.,eine Pfanne Wasser auf den Boden des Ofens legen.,オーブンの底に水を一皿置く。
A-,crush the package of ladyfingers to fine crumbs .,把包装好的瓢虫压碎成细面包屑。,broyer le paquet de quatre - quarts à bien des miettes.,das Paket der Marienkfinger in feine Krümel zerquetschen.,包装したてんとう虫を細かく砕いてパンくずにする。
A-,mix the melted butter into the crumbs .,把融化的黄油混合到面包屑中。,mélanger le beurre fondu en miettes.,die geschmolzene Butter in die Krümel mischen.,溶かしたバターをパンくずに混ぜる。
A-,moisten with 2 tablespoons of the coffee liqueur .,用2大勺咖啡利口酒湿润。,humidifier avec 2 cuillères à soupe de la liqueur de café.,mit zwei Esslöffeln der Kaffeelikör befeuchten.,大きなスプーン2杯のコーヒーでリキュールを潤します。
A-,press into an 8 - inch springform pan .,压入一个8英寸的弹簧盘。,8 cm dans une presse springform pan.,in eine 8 -Zoll -Springform -Pfanne drücken.,8インチのスプリングディスクを押し込みます。
N|,"in a large bowl ,",在一个大碗里，,"dans un grand bol,","in einer großen Schüssel,",大きな鉢の中で、
A-,"mix cream cheese ,",混合奶油奶酪，,"mélanger le fromage à la crème,","Mischen von Frischkäse,",ミックスクリームチーズ、
A|,"mascarpone ,",马斯卡彭，,"mascarpone,","mascarpone,",マルカ彭、
A|,and sugar *,还有糖*,et le sucre *,und Zucker *,砂糖*もあります
N-,until very smooth .,直到非常光滑。,jusqu'à très bon.,bis sehr glatt.,非常に滑らかになります。
A-,"add 2 tablespoons coffee liqueur ,",加2汤匙咖啡利口酒，,ajouter 2 cuillerées à soupe de liqueur de café.,"fügen Sie 2 Esslöffel Kaffeelikör hinzu,",コーヒーリキュールを2スプーン追加します。
A-,and mix .,然后混合。,et mélanger.,und mischen.,そして混ぜます。
A-,add the eggs *,加入鸡蛋*,ajouter les oeufs *,die Eier hinzufügen *,卵を入れます
A|,and the flour ;,和面粉；,et la farine;,und das Mehl;,小麦粉をこねる
A-,mix slowly just *,慢慢搅拌*,mélanger doucement juste *,mischen langsam nur *,ゆっくりと混ぜます
N-,until smooth .,直到光滑。,jusqu'au bon.,bis glatt.,滑らかになるまで。
A-,pour batter over crust in the springform pan .,把面糊倒在弹簧锅的外壳上。,verser la pâte sur springform croûte dans le pan.,Den Teig über die Kruste in die Springform geben.,生地をスプリング鍋の外側に張る。
A-,place pan on middle rack of oven .,把平底锅放在烤箱中间的架子上。,place pan sur étagère du milieu de four.,die Pfanne auf der mittleren Theke des Ofens.,フライパンをオーブンの間の棚に置く。
A-,bake *,烘焙*,cuire *,backen *,ほうじる
N-,"until just set ,",直到刚开始，,"jusqu'à,","bis gerade gesetzt,",始まったばかりです
N|,40 to 45 minutes .,40到45分钟。,40 à 45 minutes.,40 bis 45 Minuten.,40分から45分です。
A-,"open oven door ,",打开烤箱门，,"four ouvert la porte,","offene Ofentür,",オーブンのドアを開けて、
A-,and turn off the heat .,关掉暖气。,et couper le chauffage.,und schalten die Hitze aus.,暖房を消す。
A-,leave cake to cool in oven *,把蛋糕放在烤箱里冷却*,laisser refroidir dans le four *.,den Kuchen im Ofen abkühlen *,ケーキをオーブンで冷やす*
N|,for 20 minutes .,20分钟。,pour 20 minutes.,für 20 Minuten.,20分です。
A-,"remove from oven ,",从烤箱中取出，,"retirer du four,","aus dem Ofen entfernen,",オーブンから取り出して、
A-,"and let it finish cooling ,",让它冷却下来，,"finissons ce refroidissement,","und die Kühlung beenden lassen,",それを冷やしてください。
N|,about 30 minutes .,大约30分钟。,environ 30 minutes.,ca. 30 Minuten.,30分ぐらいです。
A-,refrigerate *,冷藏*,réfrigérer *,Kühlen *,冷凍*
N|,"for at least 3 hours ,",至少3小时，,"pendant au moins 3 heures,","für mindestens drei Stunden,",少なくとも3時間、
N|,or overnight .,或者过夜。,ou toute la nuit.,oder über Nacht.,あるいは夜を過ごす。
A-,grate semisweet chocolate over the top right *,右上角的半甜巧克力*,sucré chocolat au cours de la grille en haut à droite *,halbsüße Schokolade über die Oberseite rechts gerieben *,右上の半甘いチョコレート*
A-,before serving .,上菜前。,avant de servir.,vor dem Servieren.,料理が運ばれる前。
,,,,,
A-,"mix flour ,",混合面粉，,"mélanger la farine,","Mehl mischen,",ミックス小麦粉、
A|,"salt ,",盐，,"sel,","Salz,",塩、
A|,"garlic salt ,",大蒜盐，,"l'ail, sel,","Salz, Knoblauch",にんにく塩、
A|,"garlic powder ,",大蒜粉，,"de l'ail en poudre,","Knoblauchpulver,",にんにくの粉、
A|,and oregano together in a medium bowl .,和牛至一起放在一个中等大小的碗里。,et origan ensemble dans un bol moyen.,und Oregano zusammen in einer mittleren Schale.,牛至と一緒に中ぐらいの大きさのお椀に入れます。
A-,"add pork chops ,",加猪排，,"ajouter les côtelettes de porc,","fügen Sie Koteletts hinzu,",ポークを入れます
A|,and toss *,然后投掷*,et jette *,und werfen *,そして*を投げます
N-,until well coated .,直到涂层良好。,bien enrobés.,bis gut beschichtet.,コーティングが良くなるまで。
A-,heat butter *,热黄油*,chauffer le beurre *,Wärmebutter *,ホットバター*
A|,and olive oil in a large skillet over medium heat .,和橄榄油在大平底锅中加热。,et de l'huile d'olive dans une grande poêle à feu moyen.,und Olivenöl in einer großen Pfanne über mittlerer Hitze.,オリーブオイルと大フライパンで温めます。
A-,"place pork in skillet in a single layer ,",把猪肉放在平底锅里一层，,place du porc dans un poêlon en une seule couche,"Schweinefleisch in die Pfanne in einer einzigen Schicht stellen,",豚肉をフライパンの中に入れて、
A-,"and cook ,",还有库克，,"et cook,","und kochen,",クックがあります
A-,"turning occasionally ,",偶尔转弯，,"de temps en temps,","ab und zu drehen,",たまに曲がります
N-,until brown on both sides .,直到两边都变成棕色。,jusqu'à ce que brown des deux côtés.,bis braun auf beiden Seiten.,両側が茶色になるまで。
A-,add mushrooms *,加蘑菇*,ajouter les champignons *,Pilze hinzufügen *,きのこを入れる*
A|,and minced garlic ;,蒜末；,et l'ail hachée;,und geschliffener Knoblauch;,にんにくの粉
A-,cook *,库克*,cook *,kochen *,クック*
A-,and stir briefly .,搅拌一下。,et agiter brièvement.,und kurz umrühren.,かき混ぜてください。
A-,"stir in wine ,",加入葡萄酒，,"ajouter le vin,","in Wein rühren,",ワインを加えて、
A-,scraping the skillet to loosen any brown bits .,把平底锅刮掉，把褐色的东西都拧松。,racler le poêle à desserrer les brown bits.,"die Pfanne kratzen, um braune Teile zu lösen.",フライパンを削って、褐色のものを全部緩めます。
A-,cover *,封面*,couvrir *,Deckel *,カバー
A-,and simmer over medium heat *,中火慢炖*,et laisser mijoter à feu moyen *,und über mittlerer Hitze leuchten *,中火で煮る
N-,until pork is tender *,直到猪肉变软*,jusqu'à ce que le porc est tendre *,bis das Schwein zart ist,豚肉が柔らかくなるまで
N|,"and sauce is thickened ,",酱汁加厚了，,et la sauce est épaissie,"und Sauce wird verdickt,",そして、ソースは厚くなります。
N|,about 15 minutes .,大约15分钟。,environ 15 minutes.,ca. 15 Minuten.,約15分。
N-,"if sauce is too thick ,",如果酱汁太浓，,"si la sauce est trop épais,","wenn die Sauce zu dick ist,",ソースが厚すぎるならば。
A-,adjust by stirring in a small amount of wine .,加入少量葡萄酒搅拌调整。,adapter en agitant dans une petite quantité de vin.,durch Rühren in einer kleinen Menge Wein anpassen.,少量のワインでかき混ぜて調整します。
,,,,,
A-,"slice the sausages lengthwise ,",把香肠纵向切成薄片，,"pizza saucisses longitudinalement,","die Würstchen längs schneiden,",ソーセージを縦に切る。
N|,leaving them attached along one side .,把它们放在一边。,les laisser attachée sur un côté.,sie auf einer Seite befestigt.,彼らを片方に沿って付けておくこと。
A-,spread them out flat in a large skillet .,把它们平放在一个大平底锅里。,ecarte appartement dans une grande poêle.,verteilen sie flach in einer großen Pfanne.,大きなフライパンで平らに広げてください。
A-,cook over medium heat *,中火烹调*,cuire à feu moyen *,kochen bei mittlerer Hitze *,中火でクック
N|,"for 15 minutes ,",15分钟，,"depuis 15 minutes,","für 15 Minuten,",15分です。
A-,"turning once ,",转动一次，,"pour une fois,","einmal drehen,",度転換
N-,until the sausages are browned *,直到香肠变成褐色*,jusqu'à ce que les saucisses sont brun *,bis die Würstchen gebräunt sind *,ソーセージが茶色になるまで
N|,and cooked through .,彻底煮熟。,et bien cuit.,und durch.,を通して調理。
A-,remove from skillet *,从平底锅中取出*,retirer de la poêle.,Entfernen von der Pfanne *,フライパンから取り除く
A-,and set aside .,放在一边。,et mettre de côté.,und beiseite legen.,そして脇に置きなさい。
A-,"place the ground beef ,",放牛肉末，,"le boeuf haché,","das gemahlene Rindfleisch platzieren,",牛挽肉を置く。
A|,"olive oil ,",橄榄油，,"l'huile d'olive,","Olivenöl,",オリーブオイル
A|,"onion ,",洋葱，,"oignon,","Zwiebel,",タマネギ
A|,"and garlic in the skillet ,",锅里有大蒜，,et l'ail dans la poêle.,"und Knoblauch in der Pfanne,",にんにくとニンニク。
A-,and cook *,和厨师*,et cook *,und kochen *,とクック
A-,and stir over medium heat *,中火搅拌*,et agiter sur feu moyen *,und über mittlere Hitze rühren *,ミディアムヒート*
N|,"for about 10 minutes ,",大约10分钟，,"environ 10 minutes,","für etwa zehn Minuten,",約10分です。
N-,until the onion is translucent *,直到洋葱变成半透明*,jusqu'à ce que l'oignon est translucide *,bis die Zwiebel durchscheinend ist *,玉ねぎが半透明になるまで
N|,and the beef is browned *,牛肉是棕色的*,et la viande est brun *,und das Rind wird gebräunt *,牛肉は茶色になっている
N|,and crumbly .,而且易碎。,et friable.,und krumm.,と不器用に。
A-,drain all but 2 tablespoons of fat .,除了2汤匙的脂肪外，其他的都要排干。,vider tous mais 2 cuillerées à table de matières grasses.,alle bis auf zwei Esslöffel Fett abtropfen.,すべての脂肪の大さじ2をドレインします。
A-,"stir in the tomatoes ,",拌入番茄，,"ajouter les tomates,","Rühren Sie die Tomaten,",トマトをかき混ぜる。
A|,"tomato sauce ,",番茄酱，,"la sauce tomate,","Tomatensauce, Tomatensauce,",トマトソース。
A|,"salt ,",盐，,"sel,","Salz,",塩
A|,"pepper ,",胡椒粉，,"pepper,","Pfeffer, Pfeffer",胡椒
A|,"basil ,",罗勒，,"basil,","Basilikum,",バジル
A|,"oregano ,",俄勒冈，,"de l'origan,","Oregano,",オレガノ
A|,and bay leaf .,还有月桂叶。,et la feuille de laurier.,und bay leaf.,そして、ベイリーフ。
A-,simmer uncovered over low heat *,低热文火*,laisser mijoter découvert plus de faible chaleur *,bei niedriger Hitze aufgedeckt *,低熱で覆される
N|,"for 1 hour ,",持续1小时，,"pendant une heure,","für eine Stunde,",1時間です。
A-,"stirring occasionally ,",偶尔搅拌，,"en agitant occasionnellement,","gelegentlich rühren,",時折かき回す
N-,until the flavors have blended .,直到味道混合。,jusqu'à ce que les saveurs ont mélangé.,bis sich die Aromen vermischt haben.,味がブレンドするまで。
A-,remove the bay leaf .,取下月桂叶。,retirer la feuille de laurier.,entfernen Sie das Lorbeerblatt.,ベイリーフを取り外します。
A-,preheat the oven to 350 degrees f ( 175 degrees c ) .,预热烤箱至350华氏度（175摄氏度）。,préchauffer le four à 350 degrés f (175 degrés c).,Vorwärmen des Ofens bis 350 Grad f () 175 Grad c).,350度F（175度C）にオーブンを予熱してください。
A-,"bring a large pot of lightly salted water to a boil ,",把一大锅淡盐水烧开，,un grand pot de légèrement l'eau salée à ébullition.,"einen großen Topf mit leicht gesalzenem Wasser zum Kochen bringen,",軽く塩水の大きな鍋を沸騰させる。
A-,"drop in the pasta ,",加入意大利面，,"baisse dans les pâtes,","geben Sie die Pasta,",パスタをドロップします。
A-,and cook *,和厨师*,et cook *,und kochen *,とクック
N|,"for 8 to 10 minutes ,",8到10分钟，,"de 8 à 10 minutes,","für 8 bis 10 Minuten,",8分から10分。
A-,"stirring occasionally ,",偶尔搅拌，,"en agitant occasionnellement,","gelegentlich rühren,",時折かき回す
N-,until tender .,直到投标。,jusqu'à ce que l'appel d'offres.,bis zur Ausschreibung.,入札まで。
A-,"drain the pasta ,",把意大利面沥干，,"Égoutter les pâtes,","die Pasta abtropfen,",ドレインをパスタ。
A-,and mix it into the sauce .,把它拌进酱汁里。,et le mélange dans la sauce.,und in die Sauce mischen.,そして、それをソースに混ぜます。
A-,"place servings of hot pasta with sauce on oven - safe plates ,",把热意大利面和酱汁放在烤盘上。,"lieu de portions de pâtes avec sauce à chaud four - plaques,","die Portionen der heißen Pasta mit der Sauce auf den Ofen - sichere Platten setzen,",ホットパスタのサービングをオーブンにソースで置きます。
A-,"place a cooked ,",放一个煮熟的，,"place une cuite,","stellen Sie eine gekocht,",調理する
A|,"opened sausage over each serving ,",每一份都要打开香肠，,"ouvert saucisse sur chaque portion,","offene Wurst über jede Portion,",各サーブにソーセージを開けた。
A-,and sprinkle with parmesan cheese .,再撒上帕尔马干酪。,saupoudrer de fromage parmesan.,und mit Parmesan Käse bestreuen.,そしてパルメザンチーズを振りかける。
A-,place plates in the preheated oven *,把盘子放在预热过的烤箱里*,place les plaques dans le four préchauffé *,die Platten im vorgewärmten Ofen *,予熱オーブンでプレートを配置*
N|,"for 5 to 10 minutes ,",5到10分钟，,"pendant 5 à 10 minutes,","für 5 bis 10 Minuten,",5分から10分。
N-,until the cheese has melted *,直到奶酪融化*,jusqu'à ce que le fromage a fondu *,bis der Käse geschmolzen ist *,チーズが溶けるまで
N|,and begun to brown .,开始变成褐色。,et commencé à brown.,und begann zu braun.,そして茶色に始まりました。
,,,,,
A-,preheat oven to 350 degrees f ( 175 degrees c ) .,预热烤箱至350华氏度（175摄氏度）。,préchauffer le four à 350 degrés f (175 degrés c).,Vorwärmofen bis 350 Grad f (175 Grad c).,350度F（175度C）に予熱オーブン。
A-,"cream together the butter ,",把黄油搅在一起，,"crème ensemble le beurre,","Creme zusammen die Butter,",クリームを一緒にバター。
A|,"white sugar ,",白糖，,"le sucre blanc,","Weißer Zucker,",白砂糖
A|,and brown sugar *,还有红糖*,et le sucre brun *,und brauner Zucker *,ブラウンシュガー
N-,until smooth .,直到光滑。,jusqu'au bon.,bis glatt.,滑らかになるまで。
A-,"beat in the eggs one at a time ,",一次打一个鸡蛋，,"battre les œufs un à un,","schlagen in die Eier ein nach dem anderen,",卵を一度に一つずつ叩きなさい。
A-,then stir in the vanilla .,然后加入香草。,"alors, ajouter la vanille.",dann die Vanille einrühren.,それから、バニラをかき混ぜてください。
A-,dissolve baking soda in hot water .,在热水中溶解小苏打。,dissoudre le bicarbonate de soude dans l'eau chaude.,löse das Backpulver in heißem Wasser auf.,溶湯でベーキングソーダを溶かす。
A-,add to batter along with salt .,和盐一起加入面糊。,ajouter à la pâte avec du sel.,hinzufügen zu Teig zusammen mit Salz.,塩に加えて打者に加える。
A-,"stir in flour ,",拌入面粉，,"mélanger la farine,","Mehl einrühren,",小麦粉でかき混ぜる
A|,"chocolate chips ,",巧克力片，,"pépites de chocolat,","Schokoladenchips, Schokoladenchips,",チョコレートチップ
A|,and nuts .,还有坚果。,et les noix.,und Nüsse.,ナッツ。
A-,drop by large spoonfuls onto ungreased pans .,把大汤匙放到不抹油的锅上。,ungreased baisse par de grosses cuillères sur des casseroles.,Tropfen von großen Löffeln auf unbewegliche Pfannen.,未処理の鍋に大きなスプーンでドロップします。
A-,bake *,烘焙*,cuire *,backen *,ベーク
N|,"for about 10 minutes in the preheated oven ,",在预热的烤箱中大约10分钟，,environ 10 minutes au four préchauffé.,"für etwa zehn Minuten im vorgewärmten Ofen,",予熱オーブンで約10分。
N|,or *,或*,ou *,oder *,または
N-,until edges are nicely browned .,直到边缘变成棕色。,jusqu'à bords soient bien dorés.,bis die Kanten schön gebräunt sind.,エッジがきれいに茶色になるまで。
,,,,,
A-,preheat oven to 425 degrees f ( 220 degrees c ) .,预热烤箱至425华氏度（220摄氏度）。,préchauffer le four à 425 degrés f (220 degrés c).,Vorwärmofen bis 425 Grad f () 220 Grad c).,425度F（220度C）に予熱オーブン。
A-,line a muffin tin with parchment paper squares .,用羊皮纸方格把松饼罐头排成一行。,la ligne un moule à muffins avec un papier parchemin carrés.,eine Muffin -Dose mit Pergament -Papierquadraten füllen.,パーマメント紙の正方形でラインマフィンティン。
A-,grate cauliflower into a microwave - safe bowl using a fine grater .,把花椰菜用细碎的磨碎器磨成微波炉安全的碗状。,grille le chou - fleur dans un micro - onde - bol en utilisant une râpe à fromage.,Rost in eine Mikrowelle - sichere Schüssel mit einem feinen Rost.,微細なgraterを使っている電子レンジ-安全なボウルへのカリカリカリフラワー。
A-,chop up any remaining pieces that are too small to grate but too big *,把剩下的太小而不能磨碎但太大的部分切碎*,couper les morceaux restants qui sont trop petites pour grille mais trop grand *,"alle übrigen Teile, die zu klein sind, aber zu groß *",あまりにも小さいが、あまりにも大きい大きさの任意の残りの部分をチョップ
N|,for the crust .,为了外壳。,pour la croûte.,für die Kruste.,地殻のために。
A-,microwave cauliflower *,微波花椰菜*,chou - fleur au micro - ondes.,Mikrowellenleiter *,マイクロ波カリフラワー
N-,until soft *,直到变软*,jusqu'à ce que les *,bis weich *,ソフトまで
N|,"and tender ,",还有温柔，,"et tendre,","und zart,",そして優しい。
N|,4 to 6 minutes .,4到6分钟。,4 à 6 minutes.,4 bis 6 Minuten.,4から6分。
A-,"pour cauliflower into a clean dish towel cool easily handled ,",把花椰菜倒进干净的毛巾里，凉快，容易处理。,pour le chou - fleur dans un plat propre serviette cool facilement manipulé.,"Gießen Sie Blumenkohl in ein sauberes Spültuch kühl leicht gehandhabt,",カリフラワーを簡単に取り扱ったきれいな皿に注ぎます。
N|,15 to 20 minutes .,15到20分钟。,15 à 20 minutes.,15 bis 20 Minuten.,15から20分。
A-,wrap the towel around the cauliflower *,用毛巾包住花椰菜*,envelopper la serviette autour du chou - fleur *,wickeln Sie das Handtuch um den Blumenkohl,タオルをカリフラワーの周りに巻きなさい
A-,and squeeze out as much liquid as possible ;,尽量挤出液体；,et de sortir autant de liquide que possible;,und so viel Flüssigkeit wie möglich herauspressen;,そしてできるだけ多くの液体を吐き出す
IV,"the drier the cauliflower is ,",花椰菜越干，,le sec est le chou - fleur est,"der Trockner der Blumenkohl ist,",カリフラワーはドライヤーです。
IV,the better it will hold together as a crust once mixed with the other ingredients .,一旦与其他成分混合，它就越能像一块硬壳那样紧密地结合在一起。,le mieux qu'il tiendra en croûte une fois mélangé avec d'autres ingrédients.,"Je besser sie als Kruste zusammenhalten, wenn sie einmal mit den anderen Zutaten vermischt wird.",他の成分と一度混合物として一緒に保持する方が良い。
A-,"combine cauliflower ,",组合花椰菜，,"combiner le chou - fleur,","Kombinieren Sie Blumenkohl,",カリフラワーを混ぜる。
A|,"1 cup mozzarella cheese ,",1杯马苏里拉奶酪，,1 tasse de fromage mozzarella.,"1 Tasse Mozzarella Käse,",カップ1杯のモッツァレラチーズ。
A|,"parmesan cheese ,",帕尔马干酪，,"fromages parmesan,","Parmesan Käse,",パルメザンチーズ
A|,"egg ,",鸡蛋，,"l'oeuf,","Ei,",エッグ
A|,"salt ,",盐，,"sel,","Salz,",塩
A|,"pepper ,",胡椒粉，,"pepper,","Pfeffer, Pfeffer",胡椒
A|,"garlic powder ,",大蒜粉，,"de l'ail en poudre,","Knoblauchpulver,",ガーリックパウダー.
A|,and onion powder in a large bowl .,把洋葱粉放在一个大碗里。,et la poudre d'oignon dans un grand bol.,und Zwiebelpulver in einer großen Schüssel.,そして、大きなボウルのオニオン粉。
A-,"scoop cauliflower crust mixture into prepared muffin tin ,",将花椰菜皮混合物倒入准备好的松饼罐中，,"scoop de chou - fleur mélange en croûte préparé muffin tin,","Knüller -Blumenkruste -Mischung in zubereitetes Muffin -Zinn,",カリフラワー・クラスト混合物を準備されたマフィン・ティンにスクープしてください。
A-,dividing the mixture evenly among the cups .,把混合物均匀地分在杯子里。,en divisant le mélange uniformément entre les tasses.,die Mischung gleichmäßig auf die Tassen teilen.,カップの間で均一に混合物を分けること。
A-,"pat down cauliflower mixture with the back of a spoon ,",用勺子把花椰菜混合物拍下来，,"pat en mélange avec le chou - fleur derrière une cuillère,","Durchsuchen Sie Blumenkohl -Mischung mit der Rückseite eines Löffels,",スプーンの後ろにカリフラワーを混ぜる。
N|,making it compact .,使之紧凑。,le pacte.,macht es kompakt.,コンパクトにする
A-,bake in the preheated oven *,在预热过的烤箱里烘焙*,cuire au four préchauffé *,backen im vorgewärmten Ofen *,オーブンで焼く
N-,"until golden brown ,",直到金棕色，,"jusqu'à ce que doré,","bis goldbraun,",ゴールデンブラウンまで
N|,about 15 minutes .,大约15分钟。,environ 15 minutes.,ca. 15 Minuten.,約15分。
A-,spoon a small amount of pizza sauce onto each cauliflower crust .,用勺子在每个花椰菜皮上撒上一点比萨酱。,cuillère une petite quantité de chou - fleur sauce pizza sur chaque croûte.,Löffeln Sie eine kleine Menge Pizza -Sauce auf jede Blumenkruste.,それぞれのカリフラワー・クラストに少量のピザソースをスプーンでスプーン。
A-,"top with remaining 1 1 / 2 cups mozzarella cheese ,",上面还有1 1/2杯马苏里拉奶酪，,"haut de la page les autres 1 1 / 2 tasses mozzarella,","Top mit restlichen 1 /2 Tassen Mozzarella Käse,",残りの1 / 2カップのモッツァレラチーズでトップ。
A-,dividing evenly among the crusts .,在硬壳间均匀分布。,diviser équitablement entre la croûte.,gleichmäßig auf die Krusten verteilen.,残骸の間で均一に分けること。
A-,bake *,烘焙*,cuire *,backen *,ベーク
N-,until golden brown *,直到金棕色*,jusqu'à ce qu'ils soient dorés *,bis goldbraun *,ゴールデンブラウンまで
N|,"and cheese is melted ,",奶酪融化了，,"et le fromage fondu,","und Käse wird geschmolzen,",チーズは溶ける。
N|,about 15 minutes .,大约15分钟。,environ 15 minutes.,ca. 15 Minuten.,約15分。
A-,let sit in pan *,让我们坐在盘子里*,laissez reposer dans pan *,sitzen lassen *,鍋で座ってみましょう
N|,for 5 minutes *,持续5分钟*,pour 5 minutes *,für fünf Minuten *,5分間*
A-,before moving each bite to a cooling rack .,在将每个咬口移动到冷却架之前。,avant de passer chaque bouchée à un refroidissement rack.,bevor jeder Biss in einen Kühlregal verschoben wird.,各ラックを冷却ラックに移動する前に。
A-,let cool *,让它冷却*,laisser refroidir *,lassen *,レッツクール
